timestamp,attraction_id,name,city,category,popularity_score,estimated_capacity,hour,day_of_week,weather,holiday_flag,event_flag,historical_crowd_score,indoor_outdoor,temperature,rain_flag,crowd_score
2026-03-17 06:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,6,Tuesday,nắng nhẹ,0,0,60.0,outdoor,28,0,60
2026-03-17 07:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,7,Tuesday,nắng nhẹ,0,0,60.0,outdoor,28,0,63
2026-03-17 08:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,8,Tuesday,nắng nhẹ,0,0,63.0,outdoor,28,0,63
2026-03-17 09:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,9,Tuesday,nắng nhẹ,0,0,63.0,outdoor,28,0,60
2026-03-17 10:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,10,Tuesday,nắng nhẹ,0,0,60.0,outdoor,28,0,64
2026-03-17 11:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,11,Tuesday,nắng nhẹ,0,0,64.0,outdoor,28,0,61
2026-03-17 12:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,12,Tuesday,nắng nhẹ,0,0,61.0,outdoor,28,0,62
2026-03-17 13:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,13,Tuesday,nắng nhẹ,0,0,62.0,outdoor,28,0,56
2026-03-17 14:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,14,Tuesday,nắng nhẹ,0,0,56.0,outdoor,28,0,59
2026-03-17 15:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,15,Tuesday,nắng nhẹ,0,0,59.0,outdoor,28,0,61
2026-03-17 16:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,16,Tuesday,nắng nhẹ,0,0,61.0,outdoor,28,0,62
2026-03-17 17:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,17,Tuesday,nắng nhẹ,0,0,62.0,outdoor,28,0,74
2026-03-17 18:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,18,Tuesday,nắng nhẹ,0,0,74.0,outdoor,28,0,71
2026-03-17 19:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,19,Tuesday,nắng nhẹ,0,0,71.0,outdoor,28,0,74
2026-03-17 20:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,20,Tuesday,nắng nhẹ,0,0,74.0,outdoor,28,0,81
2026-03-17 21:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,21,Tuesday,nắng nhẹ,0,0,81.0,outdoor,28,0,54
2026-03-18 06:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,6,Wednesday,nắng đẹp,0,0,54.0,outdoor,30,0,65
2026-03-18 07:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,7,Wednesday,nắng đẹp,0,0,65.0,outdoor,30,0,58
2026-03-18 08:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,8,Wednesday,nắng đẹp,0,0,58.0,outdoor,30,0,59
2026-03-18 09:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,9,Wednesday,nắng đẹp,0,0,59.0,outdoor,30,0,60
2026-03-18 10:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,10,Wednesday,nắng đẹp,0,0,60.0,outdoor,30,0,57
2026-03-18 11:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,11,Wednesday,nắng đẹp,0,0,57.0,outdoor,30,0,69
2026-03-18 12:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,12,Wednesday,nắng đẹp,0,0,69.0,outdoor,30,0,69
2026-03-18 13:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,13,Wednesday,nắng đẹp,0,0,69.0,outdoor,30,0,59
2026-03-18 14:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,14,Wednesday,nắng đẹp,0,0,59.0,outdoor,30,0,58
2026-03-18 15:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,15,Wednesday,nắng đẹp,0,0,58.0,outdoor,30,0,65
2026-03-18 16:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,16,Wednesday,nắng đẹp,0,0,65.0,outdoor,30,0,62
2026-03-18 17:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,17,Wednesday,nắng đẹp,0,0,62.0,outdoor,30,0,81
2026-03-18 18:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,18,Wednesday,nắng đẹp,0,0,81.0,outdoor,30,0,82
2026-03-18 19:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,19,Wednesday,nắng đẹp,0,0,82.0,outdoor,30,0,77
2026-03-18 20:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,20,Wednesday,nắng đẹp,0,0,77.0,outdoor,30,0,78
2026-03-18 21:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,21,Wednesday,nắng đẹp,0,0,78.0,outdoor,30,0,69
2026-03-19 06:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,6,Thursday,nhiều mây,0,0,69.0,outdoor,29,0,57
2026-03-19 07:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,7,Thursday,nhiều mây,0,0,57.0,outdoor,29,0,56
2026-03-19 08:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,8,Thursday,nhiều mây,0,0,56.0,outdoor,29,0,62
2026-03-19 09:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,9,Thursday,nhiều mây,0,0,62.0,outdoor,29,0,66
2026-03-19 10:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,10,Thursday,nhiều mây,0,0,66.0,outdoor,29,0,61
2026-03-19 11:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,11,Thursday,nhiều mây,0,0,61.0,outdoor,29,0,60
2026-03-19 12:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,12,Thursday,nhiều mây,0,0,60.0,outdoor,29,0,56
2026-03-19 13:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,13,Thursday,nhiều mây,0,0,56.0,outdoor,29,0,65
2026-03-19 14:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,14,Thursday,nhiều mây,0,0,65.0,outdoor,29,0,59
2026-03-19 15:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,15,Thursday,nhiều mây,0,0,59.0,outdoor,29,0,62
2026-03-19 16:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,16,Thursday,nhiều mây,0,0,62.0,outdoor,29,0,56
2026-03-19 17:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,17,Thursday,nhiều mây,0,0,56.0,outdoor,29,0,74
2026-03-19 18:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,18,Thursday,nhiều mây,0,0,74.0,outdoor,29,0,72
2026-03-19 19:00:00,DN001,Cầu Rồng,Đà Nẵng,check-in,95,5000,19,Thursday,nhiều mây,0,0,72.0,outdoor,29,0,79
